stairs.thisTrialN,stairs.stepSize,stairs.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stairs.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
0,2,10,44.8582594,45.3581321,45.3581321,45.3753941,45.6585146,left,-10,1,1,1.2685281,2,1,2023-09-01_12h11.35.928,adaptive_staircase,2023.1.3,60.07146104
1,2,8,46.6574985,47.1569744,47.1569744,47.1569744,47.4565484,right,8,1,1,0.4299256,2,1,2023-09-01_12h11.35.928,adaptive_staircase,2023.1.3,60.07146104
2,1,6,47.6064403,48.1062412,48.1062412,48.1062412,48.4058192,right,6,0,0,0.342804,2,1,2023-09-01_12h11.35.928,adaptive_staircase,2023.1.3,60.07146104
3,1,7,48.4724074,48.9720161,48.9720161,48.9720161,49.2716101,left,-7,0,0,0.2988174,2,1,2023-09-01_12h11.35.928,adaptive_staircase,2023.1.3,60.07146104
4,1,8,49.2884724,49.7877835,49.7877835,49.7877835,,left,-8,1,1,0.1926231,2,1,2023-09-01_12h11.35.928,adaptive_staircase,2023.1.3,60.07146104
5,1,8,50.004276,50.5037618,50.5037618,50.5037618,50.8034042,right,8,1,1,0.6523307,2,1,2023-09-01_12h11.35.928,adaptive_staircase,2023.1.3,60.07146104
6,1,8,51.1864222,51.6861253,51.6861253,51.6861253,51.9857743,right,8,1,1,0.5298601,2,1,2023-09-01_12h11.35.928,adaptive_staircase,2023.1.3,60.07146104
7,1,7,52.2357497,52.7352126,52.7352126,52.7352126,53.0346727,left,-7,1,1,0.5103132,2,1,2023-09-01_12h11.35.928,adaptive_staircase,2023.1.3,60.07146104
8,1,7,53.26802,53.7674208,53.7674208,53.7674208,54.0670788,right,7,1,1,0.5996322,2,1,2023-09-01_12h11.35.928,adaptive_staircase,2023.1.3,60.07146104
9,1,7,54.3833385,54.8832251,54.8832251,54.8832251,55.1827239,left,-7,1,1,0.3967871,2,1,2023-09-01_12h11.35.928,adaptive_staircase,2023.1.3,60.07146104
10,1,6,55.2992294,55.7990506,55.7990506,55.7990506,56.0985189,right,6,1,1,0.3447071,2,1,2023-09-01_12h11.35.928,adaptive_staircase,2023.1.3,60.07146104
11,0.5,6,56.1651146,56.6647786,56.6647786,56.6647786,56.9643125,right,6,0,0,0.3628506,2,1,2023-09-01_12h11.35.928,adaptive_staircase,2023.1.3,60.07146104
